E39,becki,#87AEDF,0.000492255,,,,
A54,becki,#87AEDF,0.00037726,,,,
48036067,becki,#87AEDF,0.000512398,,,,
52337841,becki,#87AEDF,0.000557275,,,,
54957007,becki,#87AEDF,0.000593246,,,,
54957272,becki,#87AEDF,0.000362739,,,,
E69,becki,#87AEDF,0.000499295,,,,
E84,becki,#87AEDF,0.000414842,,,,
G155,becki,#87AEDF,0.000429857,,,,
G164,becki,#87AEDF,0.000328303,,,,
G165,becki,#87AEDF,0.000517546,,,,
G21,becki,#87AEDF,0.000270054,,,,
G90,becki,#87AEDF,0.000448906,,,,
H17,becki,#87AEDF,0.000424003,,,,
H27,becki,#87AEDF,0.000513414,,,,
H29,becki,#87AEDF,0.000487254,,,,
I59,becki,#87AEDF,0.00051138,,,,
I7,becki,#87AEDF,0.000433252,,,,
M163,becki,#87AEDF,0.000370172,,,,
Z6,becki,#87AEDF,0.00040105,,,,
Z8,becki,#87AEDF,0.000471711,,,,
VW100,becki,#87AEDF,0.0006039,,,,
VW266,becki,#87AEDF,0.000599891,,,,
VW792,becki,#87AEDF,0.000679159,,,,
VW805,becki,#87AEDF,0.000540831,,,,
I152,becki,#87AEDF,0.000459055,,,,
Z3,chathamensis,#6DBC86,0.00043289,,,,
A12,hoodensis,#B1AF64,0.000621437,,,,
A15,hoodensis,#B1AF64,0.000460367,,,,
A6,hoodensis,#B1AF64,0.000596729,,,,
A86,hoodensis,#B1AF64,0.000420917,,,,
A91,hoodensis,#B1AF64,0.000615435,,,,
B128,hoodensis,#B1AF64,0.000603703,,,,
B41,hoodensis,#B1AF64,0.000546217,,,,
B55,hoodensis,#B1AF64,0.000460671,,,,
BF461,hoodensis,#B1AF64,0.000540039,,,,
C63,hoodensis,#B1AF64,0.000453212,,,,
C66,hoodensis,#B1AF64,0.000547247,,,,
48349076,hoodensis,#B1AF64,0.000491008,,,,
52312895,hoodensis,#B1AF64,0.000337298,,,,
52604553,hoodensis,#B1AF64,0.000445403,,,,
52796799,hoodensis,#B1AF64,0.000470957,,,,
72611626,hoodensis,#B1AF64,0.00047578,,,,
A16,hoodensis,#B1AF64,0.000497831,,,,
A33,hoodensis,#B1AF64,0.000445192,,,,
BR027,hoodensis,#B1AF64,0.000464963,,,,
BR542,hoodensis,#B1AF64,0.000612407,,,,
BR610,hoodensis,#B1AF64,0.000553785,,,,
BR783,hoodensis,#B1AF64,0.000443035,,,,
G8,hoodensis,#B1AF64,0.000480801,,,,
H119,hoodensis,#B1AF64,0.00035194,,,,
H149,hoodensis,#B1AF64,0.000430629,,,,
H163,hoodensis,#B1AF64,0.00044333,,,,
H192,hoodensis,#B1AF64,0.000490394,,,,
I8,hoodensis,#B1AF64,0.000522447,,,,
I94,hoodensis,#B1AF64,0.000456857,,,,
Z1,hoodensis,#B1AF64,0.000412211,,,,
Z11,hoodensis,#B1AF64,0.000405681,,,,
Z12,hoodensis,#B1AF64,0.000277829,,,,
Z13,hoodensis,#B1AF64,0.000266957,,,,
Z14,hoodensis,#B1AF64,0.000621414,,,,
Z15,hoodensis,#B1AF64,0.000454615,,,,
Z20,hoodensis,#B1AF64,0.000337612,,,,
Z21,hoodensis,#B1AF64,0.000467015,,,,
Z4,hoodensis,#B1AF64,0.000494457,,,,
Z5,hoodensis,#B1AF64,0.000364831,,,,
Z7,hoodensis,#B1AF64,0.000437581,,,,
Z9,hoodensis,#B1AF64,0.000359278,,,,
B39,hoodensis,#B1AF64,0.000583002,,,,
PBR_3,hoodensis,#B1AF64,0.000482627,,,,
NHM_1974_2459,niger,#DB9D85,0.000966106,,,,
BM842,niger,#DB9D85,0.000469667,,,,
26056533,niger,#DB9D85,0.000280391,,,,
51777322,niger,#DB9D85,0.000571274,,,,
52335791,niger,#DB9D85,0.0005647,,,,
52376100,niger,#DB9D85,0.000548242,,,,
52793336,niger,#DB9D85,0.000304557,,,,
54957019,niger,#DB9D85,0.00055312,,,,
54957555,niger,#DB9D85,0.00050585,,,,
BR106,niger,#DB9D85,0.000584053,,,,
BR877,niger,#DB9D85,0.000550205,,,,
E11,niger,#DB9D85,0.000422395,,,,
H158,niger,#DB9D85,0.000350892,,,,
H2,niger,#DB9D85,0.00049821,,,,
H210,niger,#DB9D85,0.000518975,,,,
H235,niger,#DB9D85,0.000399987,,,,
H5,niger,#DB9D85,0.000392979,,,,
I64,niger,#DB9D85,0.000518471,,,,
Z17,niger,#DB9D85,0.000496104,,,,
Z18,niger,#DB9D85,0.000542222,,,,
Z19,niger,#DB9D85,0.000552757,,,,
Z2,niger,#DB9D85,0.000551098,,,,
I96,SISA,#CD99D8,0.000440608,,,,
VW665,SISA,#CD99D8,0.000508807,,,,
26055848,UNK,darkgrey,0.000410635,,,,
48359110,UNK,darkgrey,0.000427442,,,,
