PC1,PC2,PC3,PC4
-334.6317575,79.24831566,67.7438786,9.715364038
-285.4467933,-105.9078981,-21.7738603,17.56948805
-327.7444481,97.77392557,-34.59663642,0.234641813
-289.5933739,-42.84615908,-33.17042653,32.27851961
-307.6036901,36.62660121,-34.43611795,44.88258056
-305.6174745,29.03312979,-44.03562143,45.50960671
-325.7459958,103.9524469,-28.27319318,64.14993254
-292.3034901,-73.8026771,-32.34872367,25.26751098
-310.9217498,4.105225782,-32.47774177,43.43053272
-302.8636859,-110.8451678,-20.77804054,21.74158128
-283.2857114,-26.75194389,-45.64111861,28.62904302
-298.0051683,35.09038182,-51.67350116,53.40268671
-330.399142,117.0593502,-53.48851092,31.51737028
-322.2498728,66.73845771,8.287656955,14.92905672
-276.9101176,-39.78148092,-27.62956937,32.35513205
-281.9375402,-126.9373287,-13.22674194,16.16549664
-307.8847873,27.85676004,8.396068336,19.13282515
-295.0602277,-34.46967247,-27.89244751,32.0670684
-287.0410394,2.285592818,-31.45675437,37.72871707
-304.2997925,24.56245709,-37.9009199,45.12528125
-285.9753337,29.18523482,-42.27995377,57.50831692
-301.199691,-3.486316716,-44.29784344,37.89158787
-327.2577308,90.44488223,-138.0903612,150.9508601
-302.3094071,-40.61579237,-31.90915582,31.23746891
-291.2864396,-104.4629643,-22.76959533,20.59436344
-275.230381,-79.6049973,-27.36017556,21.04656319
-296.3289089,-41.58082368,-31.28496499,31.42223083
-337.338207,89.51588944,-98.85662529,47.93625695
-327.9061904,83.63414479,-15.35837646,4.679873392
-314.0747827,53.04697317,7.37047621,14.24633828
-303.0069092,-50.9065826,-38.59027821,40.69656719
-301.9256246,-65.1286732,-22.09983757,31.8282951
-299.3316868,-51.42210049,-24.96327481,28.98136513
-303.5322968,18.03801404,-31.74992529,44.42855282
-292.3061908,42.04163734,-34.48738053,42.10487635
-332.271466,75.68716836,68.9128077,8.566267173
-307.6488912,36.10829301,-43.64678753,49.22734498
-319.5290766,0.913058972,-76.0043869,8.026502755
-291.9160465,35.61068036,-40.88209625,49.05247364
-298.1331959,-86.57407205,-27.61275485,24.69409835
-293.5165425,-114.2471116,-19.8071571,19.19290383
-357.4794208,169.714364,92.21814803,6.040369285
-330.6614047,145.9632301,29.98231206,27.8809533
-346.2219835,176.5529436,80.74608961,8.972184426
-352.0861592,188.5963507,129.1265818,2.902567055
-348.9481291,162.9270666,1.244048477,-12.58036514
-361.4674601,219.2124899,160.0360533,-3.646521325
-298.5741669,-117.3077928,-18.80718853,19.36703024
-357.6857955,192.360933,110.8249991,2.348902761
-282.1053594,-48.73107898,-23.66832843,27.83951183
-284.8389802,-29.4967107,-30.19286779,36.52260215
-280.3714784,-93.27874953,-24.04427517,18.77328953
-275.7436442,-12.80792296,-33.16784148,29.46218934
-324.5226073,109.9004669,-98.16671989,47.39648484
-300.360564,-58.45970118,-19.95512712,21.7618895
-290.2336405,-85.97573271,-27.03492521,22.77550257
-293.1269793,-86.8387291,-26.88897789,22.98544873
-290.6380175,-109.5629823,-19.62116246,19.56757072
-330.8032471,104.5000458,-173.194075,28.05376635
-334.1212096,115.9071574,-130.1648705,59.76404173
-294.7846859,-93.74272955,-26.16507965,22.89708935
-349.0785312,158.9038919,-1.569649362,63.26242659
-290.218552,-87.17049913,-26.6031679,21.29865812
-334.5170851,142.0156524,-34.16811965,-17.8894028
-300.8652135,-28.78084438,-30.76170716,30.30255572
-298.5864248,-43.38797803,-34.04354885,33.29979286
-329.5730998,114.105477,-155.1427578,3.408691472
-325.2194799,105.7647911,-147.9586344,53.7355765
-282.7760883,-104.8817826,-18.66970797,18.12357517
-294.598062,-118.180414,-18.54649059,19.71225828
-283.8117881,-114.3433176,-16.81165458,16.21946927
-284.8445953,-118.5349536,-17.30599357,17.0911384
-313.8499582,7.441628013,-38.21698919,41.99370798
-291.1411614,45.91330661,-37.6555021,47.74199099
-291.1020499,-68.58420417,-33.87883214,23.50056408
-294.1599652,-85.46631603,-28.87266143,24.0310256
-291.1898189,-17.68768579,-48.12687321,30.31785184
-296.5551884,-87.56610994,-28.25324764,22.89019212
-281.0611145,-49.23557169,-24.58292276,31.62041423
-303.2982251,-106.3114525,-21.37730152,21.64398109
-303.8863957,52.56036801,-49.33483211,13.26457357
-293.3840724,-76.30983854,-31.12186826,24.36771185
-282.4782898,-86.99002579,-26.21052582,21.76936154
-327.214817,133.2079505,1.409079331,48.4505328
-293.4023789,-89.01746165,-27.24077523,21.61532346
-304.5719772,33.99411608,19.95221586,17.11278911
-294.7789348,-113.6510769,-20.47304446,18.49344252
-328.5591682,94.77789692,-134.0862456,-68.8724488
-341.7806886,70.39486153,35.55247507,16.70013854
-292.0400668,-27.22361894,-46.35271845,30.31162529
-359.3616565,135.5944994,-123.878175,-31.09588602
-348.5374142,89.3366858,-160.6474097,-20.58246082
-357.7778799,115.4318804,-202.8631061,-84.51574764
-351.5175419,100.721471,-147.2467829,46.20572815
-348.6144216,99.30182809,-150.8273627,111.1124051
-291.9491997,67.35454667,-23.39658993,21.2757737
-346.1601955,-284.9475374,26.81802463,-3.463231483
-384.6161837,-310.4470209,33.27420446,1.835747113
-379.5266713,-293.2293035,27.46702514,4.594707539
-381.9794679,-306.8383489,34.02788436,-0.217480283
-370.8347432,-300.7099078,31.55612448,0.638516673
-358.4234807,-275.2401263,31.05025508,-7.915705346
-355.049115,-231.3975559,24.09336714,-3.843527897
-365.8035959,-297.1079926,31.37085334,-1.671454254
-355.5106893,-227.0508478,23.39228826,-4.607701091
-353.0074483,-221.1299304,24.66106639,-8.397297699
-360.8339443,-246.8245861,27.29641999,-2.221132083
-365.5437818,-264.6379731,30.11485472,-4.789054612
-346.9741153,-258.9578098,26.5108612,-5.659822279
-352.9085798,-230.1741678,25.84218296,-7.297688788
-260.1747478,1.695172201,-70.88749482,73.19901755
-350.8806228,-313.8658861,38.05815191,-11.09990084
-343.3538908,125.2527648,-163.3195083,-121.8388513
-332.6680668,89.8352305,-139.3505389,222.7134152
-358.0924153,117.8985275,-216.5375633,11.89791487
-335.9252619,73.08581625,-156.3558141,8.881456519
-337.1172376,92.52095832,-152.2843008,38.92687589
-341.3306037,109.3019814,-155.7904248,88.77757225
-357.7456323,113.5163316,-206.4452653,7.689839862
-345.9622531,106.5117721,-169.1813819,66.10368019
-355.8803599,105.3045707,-170.8478939,306.1142912
-335.5508443,82.83551319,-131.192096,39.81560864
-334.3804362,82.01928172,-120.0703979,-3.099815833
-346.2471314,106.1101086,-239.9493008,-216.9921549
-362.7362779,184.8594026,136.6837029,-7.003226902
-339.4290909,96.93506487,-147.4637528,-136.0571307
-388.7003451,231.564171,177.8488846,-0.771134331
-369.8648445,195.3972344,156.0192297,-8.982811941
-394.5479218,237.3963148,193.8456756,-8.140870683
-368.8509734,192.1195523,155.6278646,-8.587846055
-367.7815945,177.4369705,152.2914693,-17.83444932
-363.8439136,188.3706281,143.5364351,-7.791415924
-361.9005084,170.9556775,129.2111777,-7.293356252
-354.020564,157.0026242,111.2483433,6.926624204
-367.8417561,182.9161651,152.518519,-16.93726747
-387.400955,224.9412811,160.8182959,4.975869773
-362.1671597,177.6691438,132.0288533,-3.776204366
-368.0052118,182.8743618,148.1835659,-11.11306437
-345.7470427,109.6693036,-248.038334,-208.2245626
-366.1015731,152.5095669,-86.43677205,-12.74511028
